temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,condition,dewpoint_depression,hour,condition_encoded
21.0,0.0,88,1014.0,6.1,100,18.9,23.0,10.0,16.1,Overcast,2.1000000000000014,14,7
27.8,0.0,78,1011.0,15.5,73,23.5,31.5,9.0,29.6,Cloudy,4.300000000000001,14,1
27.6,0.0,74,1007.0,6.8,34,22.5,30.6,10.0,11.9,Partly cloudy,5.100000000000001,6,2
29.0,0.0,78,1005.0,7.6,87,24.7,34.2,10.0,8.7,Overcast,4.300000000000001,20,7
31.9,0.0,73,1007.0,13.7,85,25.7,39.7,10.0,21.0,Overcast,6.199999999999999,12,7
26.3,0.1,84,1010.0,2.5,94,23.3,29.4,10.0,13.9,Patchy rain possible,3.0,15,0
21.3,0.0,77,1017.0,5.0,72,17.0,23.3,10.0,10.3,Cloudy,4.300000000000001,10,1
20.9,0.4,90,1017.0,3.2,100,19.2,22.9,10.0,5.1,Patchy rain possible,1.6999999999999993,3,0
21.4,0.4,92,1016.0,5.3,72,20.1,23.4,10.0,9.6,Patchy rain possible,1.2999999999999972,5,0
22.6,0.0,96,1011.0,1.4,41,21.9,25.0,2.0,2.6,Partly cloudy,0.7000000000000028,23,2
28.0,0.0,84,1009.0,6.1,45,24.9,32.8,9.0,10.1,Partly cloudy,3.1000000000000014,21,2
18.7,0.4,81,1015.0,1.8,69,15.4,20.7,10.0,6.3,Patchy rain possible,3.299999999999999,8,0
20.7,4.2,96,1019.0,14.8,100,20.1,22.7,7.0,25.2,Moderate or heavy rain shower,0.5999999999999979,12,4
27.3,0.0,93,1008.0,7.2,31,24.9,32.8,10.0,11.1,Partly cloudy,2.400000000000002,20,2
25.6,0.0,78,1009.0,13.9,6,21.4,27.7,10.0,28.3,Sunny,4.200000000000003,17,8
26.5,1.63,86,1015.0,12.2,90,23.9,30.0,7.0,21.5,Moderate or heavy rain shower,2.6000000000000014,10,4
20.3,0.1,84,1016.0,5.0,100,17.6,22.3,10.0,7.9,Patchy rain possible,2.6999999999999997,5,0
26.7,0.0,85,1003.0,16.2,51,24.0,30.3,10.0,27.4,Partly cloudy,2.6999999999999997,18,2
30.3,0.0,88,1006.0,8.6,74,24.1,40.4,10.0,14.9,Cloudy,6.199999999999999,17,1
23.5,0.1,87,1015.0,9.4,78,21.3,25.7,10.0,14.0,Patchy rain possible,2.1999999999999997,7,0
25.7,0.0,82,1010.0,9.0,28,22.5,28.3,10.0,12.7,Partly cloudy,3.1999999999999997,7,2
26.3,0.0,85,1002.0,7.7,79,23.5,29.5,9.0,14.9,Cloudy,2.8000000000000007,3,1
20.2,0.0,94,1015.0,7.9,52,19.2,22.2,2.0,12.3,Partly cloudy,1.0,1,2
22.6,0.0,90,1013.0,5.4,39,20.9,24.9,10.0,7.2,Partly cloudy,1.7000000000000028,7,2
27.2,0.0,93,1009.0,8.3,46,25.3,32.0,10.0,8.6,Partly cloudy,1.8999999999999984,22,2
23.8,0.0,87,1013.0,8.6,69,21.6,26.0,10.0,13.3,Cloudy,2.1999999999999997,0,1
23.2,0.0,88,1014.0,9.4,84,21.1,25.4,10.0,10.2,Cloudy,2.099999999999998,23,1
23.6,0.0,92,1010.0,5.0,64,22.2,26.0,10.0,8.0,Cloudy,1.400000000000002,3,1
23.7,0.0,89,1012.0,3.6,79,21.9,26.0,10.0,6.0,Cloudy,1.8000000000000007,1,1
26.8,0.1,72,1013.0,4.3,83,21.3,29.1,10.0,9.7,Patchy rain possible,5.5,10,0
25.4,2.4,91,1012.0,10.4,70,23.8,28.5,10.0,20.5,Moderate or heavy rain shower,1.599999999999998,15,4
20.0,0.7,90,1016.0,0.0,100,18.4,22.0,10.0,1.8,Moderate rain at times,1.6000000000000014,5,6
20.4,0.0,80,1014.0,9.4,24,16.9,22.4,10.0,16.2,Clear,3.5,4,3
20.1,0.0,88,1015.0,3.6,74,18.1,22.1,10.0,6.0,Cloudy,2.0,20,1
26.9,0.0,83,1004.0,6.5,59,23.8,30.5,10.0,13.6,Partly cloudy,3.099999999999998,8,2
23.5,0.0,90,1011.0,8.3,12,21.7,25.7,10.0,13.2,Sunny,1.8000000000000007,7,8
20.4,0.0,96,1013.0,5.8,80,19.8,22.4,2.0,10.5,Cloudy,0.5999999999999979,5,1
18.2,0.0,84,1016.0,5.4,79,15.5,20.2,10.0,9.1,Cloudy,2.6999999999999997,1,1
24.2,0.4,89,1013.0,8.3,89,22.3,26.5,10.0,13.8,Patchy rain possible,1.8999999999999984,23,0
32.0,0.0,72,1009.0,8.6,15,25.5,40.5,10.0,16.5,Sunny,6.5,11,8
27.9,0.0,78,1011.0,4.3,51,22.5,31.7,10.0,10.4,Partly cloudy,5.399999999999999,10,2
21.1,0.3,78,1017.0,6.7,97,17.2,23.1,10.0,14.6,Patchy rain possible,3.900000000000002,8,0
28.4,0.1,73,1013.0,8.3,88,23.0,32.1,10.0,17.0,Patchy rain possible,5.399999999999999,11,0
20.3,0.1,88,1017.0,8.4,100,18.3,22.3,10.0,14.4,Patchy rain possible,2.0,20,0
24.1,0.0,94,1007.0,5.9,20,23.0,26.6,10.0,7.4,Clear,1.1000000000000014,0,3
25.6,0.0,76,1008.0,18.7,73,21.1,27.6,10.0,30.3,Cloudy,4.5,16,1
27.5,0.0,95,1007.0,5.0,32,24.3,33.7,2.0,10.7,Partly cloudy,3.1999999999999997,18,2
20.4,0.0,92,1018.0,10.8,83,19.0,22.4,9.0,17.9,Cloudy,1.3999999999999986,20,1
20.9,2.9,92,1023.0,18.7,100,19.5,22.9,10.0,25.6,Moderate or heavy rain shower,1.3999999999999986,22,4
21.2,0.1,88,1015.0,13.3,100,19.1,23.2,10.0,23.3,Patchy rain possible,2.099999999999998,13,0
22.6,0.0,77,1011.0,6.5,12,18.4,24.8,10.0,9.1,Sunny,4.200000000000003,7,8
19.6,0.0,87,1017.0,7.6,100,17.3,21.6,10.0,10.8,Overcast,2.3000000000000007,3,7
27.6,0.0,79,1007.0,8.3,20,23.5,31.3,10.0,12.7,Sunny,4.100000000000001,7,8
20.2,0.0,90,1018.0,9.0,100,18.4,22.2,10.0,11.8,Overcast,1.8000000000000007,10,7
26.1,0.0,74,1014.0,15.8,74,21.2,28.2,10.0,18.6,Cloudy,4.900000000000002,9,1
28.2,0.0,89,1006.0,10.0,17,25.4,33.6,10.0,19.3,Clear,2.8000000000000007,21,3
19.4,0.6,89,1020.0,17.2,100,17.6,21.4,2.0,28.2,Moderate rain at times,1.7999999999999972,17,6
29.3,0.0,83,1005.0,2.2,71,24.8,34.8,10.0,4.1,Cloudy,4.5,21,1
25.9,0.0,80,1001.0,9.0,68,22.3,28.5,9.0,18.0,Cloudy,3.599999999999998,2,1
30.2,0.0,75,1005.0,9.8,88,25.2,36.4,10.0,18.1,Overcast,5.0,17,7
23.7,0.9,87,1015.0,11.2,82,21.4,25.9,9.0,20.1,Moderate rain at times,2.3000000000000007,3,6
24.1,0.0,93,1013.0,5.8,32,22.8,26.6,10.0,10.1,Partly cloudy,1.3000000000000007,23,2
20.5,0.0,88,1019.0,5.4,100,18.4,22.5,2.0,12.2,Overcast,2.1000000000000014,10,7
25.9,0.0,75,1014.0,4.3,10,21.2,28.0,10.0,5.0,Sunny,4.699999999999999,9,8
24.0,0.7,86,1013.0,10.5,89,21.6,26.2,10.0,21.2,Moderate rain at times,2.3999999999999986,18,6
28.7,0.0,81,1007.0,8.6,26,23.9,33.2,10.0,11.1,Partly cloudy,4.800000000000001,22,2
24.0,0.2,88,1013.0,2.2,100,21.8,26.2,10.0,8.9,Patchy rain possible,2.1999999999999997,0,0
23.8,0.1,92,1011.0,6.8,100,22.5,26.2,10.0,10.0,Patchy rain possible,1.3000000000000007,0,0
25.2,0.0,92,1008.0,9.7,85,23.7,28.2,10.0,11.1,Cloudy,1.5,2,1
26.4,0.0,89,1007.0,5.9,79,24.5,30.3,9.0,10.5,Cloudy,1.8999999999999984,22,1
30.1,1.2,72,1003.0,15.5,75,24.4,35.5,9.0,26.6,Heavy rain at times,5.700000000000003,13,5
20.6,0.2,84,1021.0,18.4,100,17.8,22.6,10.0,29.5,Patchy rain possible,2.8000000000000007,12,0
19.8,0.9,89,1016.0,6.8,69,17.9,21.8,10.0,11.9,Moderate rain at times,1.900000000000002,3,6
25.9,0.0,82,1006.0,6.8,33,22.5,28.5,10.0,12.2,Partly cloudy,3.3999999999999986,22,2
23.1,0.0,82,1016.0,9.4,56,19.8,25.2,10.0,15.1,Partly cloudy,3.3000000000000007,19,2
26.8,0.0,88,1009.0,9.7,39,24.7,30.9,10.0,11.5,Partly cloudy,2.1000000000000014,22,2
29.4,0.0,75,1010.0,5.0,26,24.4,34.7,10.0,11.6,Partly cloudy,5.0,9,2
23.3,0.0,77,1008.0,6.4,16,19.0,25.2,10.0,12.9,Sunny,4.300000000000001,8,8
21.5,0.0,83,1007.0,6.9,13,18.6,23.5,10.0,12.5,Sunny,2.8999999999999986,7,8
27.2,0.0,88,1007.0,8.3,88,24.6,31.8,9.0,13.9,Overcast,2.599999999999998,23,7
23.6,0.1,84,1016.0,6.5,99,20.8,25.6,10.0,12.1,Patchy rain possible,2.8000000000000007,10,0
30.8,5.7,66,1002.0,9.9,85,23.7,36.0,9.0,17.0,Moderate or heavy rain shower,7.100000000000001,12,4
21.5,0.0,81,1013.0,10.1,94,18.1,23.5,10.0,18.3,Overcast,3.3999999999999986,16,7
24.5,4.4,89,1003.0,11.9,96,22.6,26.9,10.0,21.0,Moderate or heavy rain shower,1.8999999999999984,1,4
24.5,0.0,90,1009.0,5.4,13,22.8,27.0,10.0,9.4,Clear,1.6999999999999993,5,3
26.6,0.0,82,1006.0,9.4,29,23.3,29.8,10.0,17.9,Partly cloudy,3.3000000000000007,21,2
25.6,0.0,90,1006.0,6.1,19,23.7,28.7,10.0,10.0,Clear,1.900000000000002,0,3
26.5,0.1,87,1009.0,4.3,73,24.1,30.1,10.0,11.2,Patchy rain possible,2.3999999999999986,22,0
24.9,1.8,95,1001.0,13.3,100,24.1,28.0,7.0,17.5,Moderate or heavy rain shower,0.7999999999999972,15,4
24.4,0.2,93,1006.0,6.6,100,23.2,27.0,10.0,11.1,Patchy rain possible,1.1999999999999993,0,0
21.7,0.0,93,1013.0,3.6,27,20.6,23.7,10.0,6.2,Partly cloudy,1.099999999999998,21,2
25.0,0.0,89,1007.0,7.6,21,23.0,27.7,10.0,13.6,Clear,2.0,5,3
25.4,5.3,87,1013.0,7.2,100,23.1,28.1,10.0,17.8,Moderate or heavy rain shower,2.299999999999997,11,4
22.9,0.0,89,1014.0,1.4,94,21.1,25.2,10.0,2.3,Overcast,1.7999999999999972,22,7
22.6,0.6,88,1013.0,12.2,71,20.4,24.9,10.0,15.8,Moderate rain at times,2.200000000000003,6,6
21.6,0.0,92,1012.0,7.2,21,20.3,23.6,10.0,11.6,Clear,1.3000000000000007,20,3
21.3,0.0,82,1017.0,13.7,100,16.1,23.3,10.0,24.3,Overcast,5.199999999999999,14,7
25.1,0.0,89,1012.0,5.4,29,23.2,27.9,10.0,8.9,Partly cloudy,1.900000000000002,23,2
20.0,0.0,89,1016.0,9.0,100,18.2,22.0,10.0,12.6,Overcast,1.8000000000000007,1,7
20.0,4.1,86,1019.0,15.8,85,17.6,22.0,10.0,26.6,Moderate or heavy rain shower,2.3999999999999986,21,4
23.8,0.7,92,1014.0,10.5,80,22.5,26.2,10.0,22.9,Moderate rain at times,1.3000000000000007,19,6
20.1,4.3,91,1017.0,18.0,100,18.6,22.1,10.0,27.3,Moderate or heavy rain shower,1.5,5,4
24.9,1.9,88,1011.0,12.2,100,22.9,27.5,9.0,17.6,Light rain,2.0,8,10
26.9,0.0,81,1010.0,5.8,14,23.2,30.1,10.0,15.1,Sunny,3.6999999999999993,7,8
18.7,0.0,88,1017.0,6.5,97,16.6,20.7,10.0,10.2,Overcast,2.099999999999998,6,7
28.8,0.3,79,1001.0,10.4,64,24.7,33.9,10.0,14.4,Patchy rain possible,4.100000000000001,16,0
22.6,0.1,82,1019.0,2.2,81,19.4,24.8,10.0,6.3,Patchy rain possible,3.200000000000003,9,0
27.4,0.2,82,1008.0,9.7,82,24.0,31.3,10.0,16.7,Patchy rain possible,3.3999999999999986,16,0
30.8,0.9,81,1006.0,14.8,78,26.0,38.5,9.0,22.4,Moderate rain at times,4.800000000000001,14,6
30.8,0.0,64,1005.0,2.2,82,23.2,35.4,10.0,7.5,Cloudy,7.600000000000001,10,1
30.1,0.1,68,1011.0,8.6,73,23.5,34.7,10.0,9.9,Patchy rain possible,6.600000000000001,10,0
22.9,0.24,77,1016.0,12.6,100,18.8,25.0,10.0,15.7,Light rain shower,4.099999999999998,11,9
22.8,0.1,82,1017.0,9.7,100,18.4,24.9,10.0,16.9,Patchy rain possible,4.400000000000002,12,0
20.6,0.3,84,1018.0,7.5,97,17.7,22.6,10.0,12.5,Patchy rain possible,2.900000000000002,23,0
29.2,0.0,74,1008.0,16.2,4,22.4,33.9,10.0,25.3,Sunny,6.800000000000001,16,8
27.2,0.0,70,1004.0,6.2,18,21.3,29.6,10.0,13.0,Sunny,5.899999999999999,6,8
17.0,0.2,90,1020.0,5.8,100,15.3,19.0,10.0,7.9,Patchy rain possible,1.6999999999999993,7,0
24.4,0.0,90,1012.0,2.9,23,22.7,26.9,10.0,4.5,Clear,1.6999999999999993,20,3
25.4,0.0,91,1009.0,7.9,16,24.0,28.5,10.0,9.7,Clear,1.3999999999999986,23,3
25.4,0.0,89,1008.0,8.6,48,23.5,28.3,10.0,10.3,Partly cloudy,1.8999999999999984,5,2
25.2,1.35,96,1010.0,9.0,85,24.5,28.6,7.0,10.9,Heavy rain at times,0.6999999999999993,23,5
18.3,0.0,89,1017.0,6.5,100,16.5,20.3,10.0,10.3,Overcast,1.8000000000000007,0,7
23.1,0.1,84,1019.0,6.5,67,20.2,25.2,10.0,7.6,Patchy rain possible,2.900000000000002,10,0
20.4,0.3,81,1017.0,10.4,100,17.0,22.4,10.0,16.3,Patchy rain possible,3.3999999999999986,7,0
25.5,0.0,78,1004.0,6.0,56,21.4,27.6,10.0,14.4,Partly cloudy,4.100000000000001,3,2
26.6,0.0,84,1002.0,10.4,74,23.7,29.9,10.0,16.0,Cloudy,2.900000000000002,22,1
30.2,0.0,82,1005.0,13.4,85,24.7,36.2,9.0,28.3,Overcast,5.5,18,7
29.7,0.0,70,1003.0,8.2,32,23.7,34.3,10.0,18.7,Partly cloudy,6.0,7,2
30.8,0.1,80,1007.0,11.5,85,26.0,38.3,10.0,14.4,Patchy rain possible,4.800000000000001,13,0
23.9,0.0,87,1007.0,7.2,29,21.5,26.0,10.0,9.2,Partly cloudy,2.3999999999999986,5,2
19.6,0.2,90,1016.0,1.4,100,17.9,21.6,10.0,2.4,Patchy rain possible,1.7000000000000028,3,0
29.6,0.0,86,1006.0,11.9,71,25.0,37.7,10.0,17.8,Cloudy,4.600000000000001,17,1
27.7,0.0,75,1009.0,11.2,15,22.8,30.9,10.0,14.8,Sunny,4.899999999999999,10,8
23.2,0.7,86,1018.0,15.1,79,20.8,25.4,10.0,23.7,Moderate rain at times,2.3999999999999986,8,6
17.7,0.0,90,1016.0,4.7,87,16.0,19.7,10.0,7.6,Overcast,1.6999999999999993,6,7
19.5,0.0,83,1018.0,9.0,100,16.5,21.5,10.0,13.0,Overcast,3.0,20,7
26.1,0.0,91,1010.0,7.6,87,24.5,29.8,10.0,12.7,Overcast,1.6000000000000014,22,7
24.4,0.1,91,1011.0,6.5,61,22.9,26.9,10.0,8.3,Patchy rain possible,1.5,19,0
24.7,0.0,87,1014.0,9.7,92,22.4,27.1,10.0,11.4,Overcast,2.3000000000000007,22,7
21.2,0.0,96,1013.0,3.6,69,20.5,23.2,2.0,5.8,Cloudy,0.6999999999999993,0,1
28.6,0.0,85,1008.0,10.4,81,24.6,33.6,10.0,14.0,Cloudy,4.0,21,1
30.9,0.0,70,1005.0,7.6,87,23.4,35.8,10.0,17.3,Overcast,7.5,17,7
30.4,1.1,70,1004.0,8.9,84,24.4,36.0,5.0,16.8,Heavy rain at times,6.0,16,5
27.1,0.5,79,1015.0,7.9,70,23.1,30.3,9.0,19.1,Moderate rain at times,4.0,9,6
29.5,0.0,68,1008.0,6.8,12,22.9,33.5,10.0,8.1,Sunny,6.600000000000001,8,8
20.4,0.0,76,1014.0,7.2,86,16.1,22.4,10.0,10.3,Overcast,4.299999999999997,4,7
24.8,0.0,88,1007.0,8.8,23,22.7,27.4,10.0,17.7,Clear,2.1000000000000014,1,3
27.3,0.0,85,1007.0,8.1,55,24.7,31.7,10.0,13.3,Partly cloudy,2.6000000000000014,20,2
21.6,0.1,91,1020.0,3.6,100,20.0,23.6,10.0,5.3,Patchy rain possible,1.6000000000000014,22,0
26.3,0.0,81,1012.0,7.2,14,22.9,29.2,10.0,13.1,Sunny,3.400000000000002,9,8
25.2,0.0,87,1008.0,8.3,13,23.0,27.9,10.0,10.6,Clear,2.1999999999999997,1,3
20.5,0.42,90,1015.0,14.0,100,18.7,22.5,10.0,18.6,Light rain shower,1.8000000000000007,15,9
25.2,0.0,87,1013.0,13.3,82,20.6,27.2,10.0,18.3,Cloudy,4.599999999999998,15,1
23.4,0.0,92,1007.0,8.3,20,22.0,25.7,10.0,9.6,Clear,1.3999999999999986,1,3
25.9,0.0,81,1010.0,15.5,11,22.3,28.4,10.0,18.9,Sunny,3.599999999999998,13,8
20.6,0.1,84,1020.0,18.0,100,17.8,22.6,2.0,29.6,Patchy rain possible,2.8000000000000007,13,0
25.2,0.0,89,1007.0,6.1,8,23.3,28.0,10.0,12.7,Clear,1.8999999999999984,5,3
25.8,0.0,82,1007.0,9.0,26,22.4,28.3,10.0,11.8,Partly cloudy,3.400000000000002,3,2
20.7,0.0,90,1015.0,3.2,100,19.1,22.7,10.0,4.9,Overcast,1.599999999999998,23,7
23.9,0.0,87,1012.0,5.4,14,21.7,26.0,10.0,8.6,Sunny,2.1999999999999997,6,8
24.5,1.8,90,1016.0,15.4,100,22.8,27.0,7.0,27.8,Moderate or heavy rain shower,1.6999999999999993,9,4
21.4,0.3,93,1023.0,11.5,100,20.1,23.4,2.0,16.1,Patchy rain possible,1.2999999999999972,9,0
27.0,0.0,80,1004.0,8.6,14,23.3,30.4,10.0,11.7,Clear,3.6999999999999993,1,3
21.6,0.0,95,1013.0,5.4,50,20.7,23.6,2.0,8.9,Partly cloudy,0.9000000000000021,6,2
20.1,3.8,91,1018.0,18.7,100,18.6,22.1,10.0,30.3,Moderate or heavy rain shower,1.5,6,4
24.7,0.0,87,1014.0,10.8,84,22.4,27.1,10.0,12.7,Cloudy,2.3000000000000007,21,1
24.2,0.2,86,1018.0,16.3,69,21.8,26.4,10.0,30.2,Patchy rain possible,2.3999999999999986,9,0
23.2,0.0,91,1008.0,5.1,11,21.7,25.5,10.0,10.2,Clear,1.5,0,3
23.2,0.2,83,1017.0,8.3,52,20.0,25.2,10.0,15.8,Patchy rain possible,3.1999999999999997,13,0
27.3,0.3,91,1003.0,6.5,87,24.9,31.9,9.0,11.8,Patchy rain possible,2.400000000000002,20,0
24.7,2.8,94,1004.0,13.0,75,23.6,27.6,10.0,24.4,Moderate or heavy rain shower,1.099999999999998,23,4
18.8,0.0,83,1019.0,3.6,99,15.9,20.8,10.0,9.5,Overcast,2.9000000000000004,19,7
23.3,0.1,90,1007.0,11.2,80,21.6,25.6,10.0,14.4,Patchy rain possible,1.6999999999999993,0,0
26.3,0.0,77,1008.0,6.8,27,21.9,28.8,10.0,12.1,Partly cloudy,4.400000000000002,6,2
26.1,2.5,81,1011.0,16.2,76,23.2,29.1,10.0,26.8,Moderate or heavy rain shower,2.900000000000002,16,4
19.2,0.0,91,1022.0,13.3,100,17.7,21.2,10.0,18.3,Overcast,1.5,19,7
24.4,0.0,88,1007.0,6.6,24,22.3,26.7,10.0,8.2,Clear,2.099999999999998,2,3
25.5,0.1,92,1007.0,11.4,65,24.1,28.8,10.0,20.8,Patchy rain possible,1.3999999999999986,21,0
28.1,0.0,76,999.0,13.3,49,21.6,30.9,10.0,19.7,Partly cloudy,6.5,4,2
25.3,0.1,88,1013.0,9.4,100,21.3,27.4,10.0,17.8,Patchy rain possible,4.0,12,0
24.2,0.0,89,1003.0,7.9,31,22.2,26.5,10.0,9.8,Partly cloudy,2.0,5,2
26.9,0.1,69,1016.0,8.6,53,20.6,28.9,10.0,16.3,Patchy rain possible,6.299999999999997,11,0
28.0,0.1,81,1012.0,15.5,52,23.2,31.7,10.0,25.6,Patchy rain possible,4.800000000000001,11,0
23.6,5.1,90,1014.0,12.8,100,21.8,25.9,10.0,24.2,Moderate or heavy rain shower,1.8000000000000007,4,4
19.2,0.0,79,1018.0,4.3,61,15.6,21.2,10.0,6.4,Cloudy,3.6,0,1
27.7,0.0,86,1007.0,9.4,14,25.1,32.5,10.0,13.0,Clear,2.599999999999998,21,3
21.7,0.0,89,1012.0,4.3,98,19.9,23.7,10.0,7.1,Overcast,1.8000000000000007,6,7
20.6,0.1,91,1016.0,7.2,100,19.1,22.6,2.0,10.8,Patchy rain possible,1.5,4,0
25.0,0.0,90,1005.0,7.9,49,23.2,27.8,10.0,9.5,Partly cloudy,1.8000000000000007,3,2
22.3,0.3,72,1017.0,9.0,79,16.9,24.7,10.0,11.1,Patchy rain possible,5.400000000000002,11,0
23.9,0.0,92,1007.0,7.9,9,22.5,26.3,10.0,8.9,Clear,1.3999999999999986,20,3
16.7,0.9,91,1020.0,14.4,100,15.2,18.7,10.0,20.4,Moderate rain at times,1.5,6,6
23.6,0.0,87,1009.0,4.6,12,21.4,25.8,10.0,6.2,Clear,2.200000000000003,3,3
23.1,0.0,68,1017.0,18.4,86,16.9,25.1,10.0,26.9,Overcast,6.200000000000003,13,7
23.6,0.0,88,1012.0,8.6,82,21.4,25.8,10.0,13.6,Cloudy,2.200000000000003,1,1
26.3,0.1,88,1005.0,11.9,72,24.2,29.9,10.0,16.6,Patchy rain possible,2.1000000000000014,21,0
22.0,0.15,83,1013.0,11.5,98,18.9,24.0,10.0,16.5,Light rain shower,3.1000000000000014,17,9
22.2,1.1,95,1019.0,9.4,100,21.4,24.7,10.0,18.0,Heavy rain at times,0.8000000000000007,11,5
22.9,0.3,91,1012.0,13.3,100,21.3,25.2,10.0,18.6,Patchy rain possible,1.599999999999998,17,0
26.7,0.0,77,1002.0,9.4,11,22.4,29.4,10.0,14.2,Clear,4.300000000000001,3,3
19.4,0.0,91,1017.0,5.6,100,17.9,21.4,10.0,9.7,Overcast,1.5,19,7
21.0,0.0,74,1012.0,10.1,87,16.1,23.0,10.0,16.4,Overcast,4.899999999999999,15,7
20.4,0.0,76,1014.0,6.8,88,16.0,22.4,10.0,9.7,Overcast,4.399999999999999,3,7
25.5,0.0,86,1010.0,7.9,87,23.0,28.2,10.0,11.2,Overcast,2.5,17,7
28.0,0.0,86,1008.0,6.3,73,24.5,33.4,10.0,8.1,Cloudy,3.5,21,1
25.2,0.0,84,1006.0,6.6,21,23.3,27.7,10.0,9.8,Clear,1.8999999999999984,4,3
24.6,0.0,90,1003.0,7.2,48,22.9,27.2,10.0,7.4,Partly cloudy,1.7000000000000028,1,2
24.4,0.0,87,1012.0,7.6,12,22.1,26.7,10.0,10.0,Sunny,2.299999999999997,7,8
27.4,0.0,75,1013.0,2.9,36,22.7,30.5,10.0,9.4,Partly cloudy,4.699999999999999,9,2
25.0,0.2,85,1014.0,9.4,80,22.3,27.4,9.0,15.9,Patchy rain possible,2.6999999999999997,20,0
26.7,0.0,87,1009.0,6.2,78,24.0,30.5,10.0,8.1,Cloudy,2.6999999999999997,22,1
23.9,0.6,87,1016.0,15.4,69,21.5,26.0,10.0,27.0,Moderate rain at times,2.3999999999999986,1,6
25.4,0.0,89,1005.0,9.0,80,23.4,28.3,10.0,10.6,Cloudy,2.0,1,1
24.1,0.0,87,1006.0,9.0,7,21.8,26.3,10.0,12.3,Clear,2.3000000000000007,5,3
25.0,0.0,88,1012.0,8.3,81,22.8,27.6,10.0,13.8,Cloudy,2.1999999999999997,20,1
23.9,0.5,78,1015.0,9.4,81,19.7,25.8,10.0,26.8,Moderate rain at times,4.199999999999999,15,6
21.7,0.5,95,1018.0,11.9,100,20.8,23.7,10.0,17.9,Moderate rain at times,0.8999999999999986,18,6
24.0,0.2,88,1013.0,14.4,100,22.0,26.3,10.0,24.9,Patchy rain possible,2.0,12,0
27.4,0.0,89,1007.0,6.5,69,25.1,32.1,10.0,9.7,Cloudy,2.299999999999997,8,1
23.5,0.6,90,1015.0,10.4,88,21.8,25.8,10.0,23.8,Moderate rain at times,1.6999999999999993,23,6
26.1,0.0,83,1006.0,8.6,49,23.0,28.9,10.0,11.8,Partly cloudy,3.1000000000000014,1,2
19.2,0.3,91,1022.0,10.8,100,17.7,21.2,10.0,14.7,Patchy rain possible,1.5,6,0
20.8,0.0,90,1018.0,6.8,100,19.1,22.8,10.0,9.6,Overcast,1.6999999999999993,21,7
27.8,0.0,84,1010.0,7.6,53,24.0,31.9,10.0,9.4,Partly cloudy,3.8000000000000007,8,2
21.4,0.2,80,1021.0,11.2,76,16.7,23.4,10.0,19.8,Patchy rain possible,4.699999999999999,11,0
24.8,0.9,88,1002.0,7.9,100,22.8,27.4,2.0,8.1,Moderate rain at times,2.0,2,6
25.5,0.0,90,1006.0,6.8,71,23.8,28.6,9.0,11.1,Cloudy,1.6999999999999993,3,1
24.2,0.32,91,1016.0,6.8,100,22.6,26.7,10.0,10.4,Light rain shower,1.599999999999998,9,9
27.5,0.0,83,1003.0,4.3,88,24.4,31.8,9.0,8.4,Overcast,3.1000000000000014,18,7
23.5,1.0,94,1009.0,10.3,66,22.5,25.9,9.0,17.6,Heavy rain at times,1.0,20,5
26.2,0.1,82,1012.0,9.0,76,22.9,29.1,9.0,17.5,Patchy rain possible,3.3000000000000007,15,0
23.8,0.1,88,1012.0,5.4,87,21.7,26.1,10.0,9.8,Patchy rain possible,2.1000000000000014,3,0
27.3,0.0,88,1011.0,8.6,83,24.5,31.5,9.0,10.9,Cloudy,2.8000000000000007,21,1
21.3,0.0,79,1014.0,14.0,92,17.4,23.3,10.0,23.7,Overcast,3.900000000000002,15,7
17.8,0.0,83,1020.0,4.3,25,14.9,19.8,10.0,7.7,Partly cloudy,2.9000000000000004,0,2
30.0,0.2,69,1004.0,14.4,78,23.6,34.8,10.0,22.9,Patchy rain possible,6.399999999999999,16,0
26.5,0.1,82,1012.0,12.2,71,22.5,29.7,10.0,20.1,Patchy rain possible,4.0,14,0
17.4,0.6,86,1022.0,6.1,100,15.0,19.4,10.0,8.7,Moderate rain at times,2.3999999999999986,0,6
25.6,0.1,89,1012.0,13.6,100,22.6,28.2,2.0,26.3,Patchy rain possible,3.0,15,0
27.6,0.0,64,1006.0,13.3,22,20.3,29.6,10.0,15.8,Sunny,7.300000000000001,11,8
18.2,0.0,90,1016.0,9.4,100,16.5,20.2,2.0,22.6,Overcast,1.6999999999999993,16,7
20.3,0.8,87,1020.0,12.2,64,18.0,22.3,10.0,20.3,Moderate rain at times,2.3000000000000007,3,6
19.3,0.0,90,1022.0,11.3,100,17.6,21.3,10.0,17.9,Overcast,1.6999999999999993,22,7
23.6,1.1,96,1013.0,12.3,100,22.8,26.1,9.0,18.9,Heavy rain at times,0.8000000000000007,8,5
25.0,0.0,84,1007.0,8.6,81,22.0,27.2,9.0,12.1,Cloudy,3.0,6,1
26.1,0.0,93,1008.0,4.7,24,24.8,30.0,10.0,7.9,Clear,1.3000000000000007,23,3
20.2,0.2,91,1018.0,10.8,66,18.8,22.2,10.0,18.4,Patchy rain possible,1.3999999999999986,21,0
20.7,0.0,84,1016.0,5.4,100,18.0,22.7,10.0,7.6,Overcast,2.6999999999999997,6,7
