temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,condition,dewpoint_depression,hour,condition_encoded
24.9,0.0,86,1007.0,5.4,18,22.5,27.4,10.0,10.4,Sunny,2.3999999999999986,6,8
18.8,0.0,93,1012.0,9.4,22,17.6,20.8,10.0,10.9,Sunny,1.1999999999999993,7,8
29.2,0.0,77,1002.0,15.1,70,24.9,34.7,9.0,24.4,Cloudy,4.300000000000001,16,1
19.4,0.0,92,1011.0,6.1,9,18.1,21.4,10.0,11.3,Clear,1.2999999999999972,21,3
19.8,0.0,83,1016.0,2.5,100,16.8,21.8,10.0,7.9,Overcast,3.0,1,7
23.3,0.0,95,1010.0,7.9,22,22.4,25.7,2.0,8.4,Clear,0.9000000000000021,0,3
22.3,0.3,85,1019.0,3.2,83,19.6,24.7,10.0,8.3,Patchy rain possible,2.6999999999999997,9,0
23.9,0.0,88,1011.0,12.6,53,21.9,26.2,10.0,18.5,Partly cloudy,2.0,16,2
20.9,0.0,95,1012.0,8.3,51,20.1,22.9,2.0,13.5,Partly cloudy,0.7999999999999972,0,2
21.7,0.0,79,1013.0,8.3,0,18.0,23.7,10.0,9.7,Sunny,3.6999999999999993,9,8
20.4,0.0,85,1015.0,10.1,100,17.8,22.4,10.0,14.1,Overcast,2.599999999999998,5,7
21.0,0.6,93,1018.0,9.0,100,19.9,23.0,9.0,13.6,Moderate rain at times,1.1000000000000014,20,6
22.0,0.01,84,1014.0,11.9,100,19.2,24.5,10.0,15.4,Patchy rain possible,2.8000000000000007,13,0
31.7,0.0,66,1006.0,13.0,88,24.5,38.1,10.0,20.6,Overcast,7.199999999999999,15,7
23.5,0.0,90,1007.0,7.6,16,21.9,25.8,10.0,10.2,Clear,1.6000000000000014,4,3
22.5,0.1,70,1013.0,10.1,89,16.6,24.7,10.0,18.2,Patchy rain possible,5.899999999999999,16,0
28.5,0.0,73,1000.0,9.2,19,23.9,32.7,10.0,17.0,Clear,4.600000000000001,19,3
25.2,0.0,88,1003.0,6.1,41,23.0,27.9,10.0,10.7,Partly cloudy,2.1999999999999997,4,2
26.7,0.0,90,1009.0,8.4,47,24.7,30.8,10.0,15.3,Partly cloudy,2.0,23,2
29.2,0.0,81,1006.0,7.9,76,23.6,33.7,10.0,13.6,Cloudy,5.599999999999998,19,1
23.5,0.3,91,1012.0,9.7,100,21.9,25.7,10.0,15.2,Patchy rain possible,1.6000000000000014,0,0
19.3,0.0,86,1020.0,11.2,100,16.9,21.3,10.0,15.8,Overcast,2.400000000000002,8,7
30.4,0.0,71,1008.0,6.5,12,24.4,36.0,10.0,7.5,Sunny,6.0,10,8
24.3,0.3,96,1011.0,4.3,59,23.6,27.1,2.0,6.9,Patchy rain possible,0.6999999999999993,21,0
29.7,0.0,80,1004.0,5.8,36,24.6,35.2,10.0,10.1,Partly cloudy,5.099999999999998,20,2
23.6,1.6,92,1013.0,11.7,100,22.1,25.9,10.0,21.2,Moderate or heavy rain shower,1.5,3,4
25.9,0.0,94,1009.0,8.3,41,24.8,29.8,10.0,9.2,Partly cloudy,1.099999999999998,23,2
23.6,0.1,97,1010.0,5.0,64,23.1,26.1,2.0,8.5,Patchy rain possible,0.5,4,0
25.3,0.2,85,1015.0,6.1,70,22.6,27.9,10.0,11.2,Patchy rain possible,2.6999999999999997,7,0
27.9,0.1,77,1011.0,8.3,81,23.6,31.8,10.0,9.5,Patchy rain possible,4.299999999999997,11,0
28.7,0.4,77,1003.0,3.2,65,24.3,33.5,10.0,10.6,Patchy rain possible,4.399999999999999,12,0
27.1,0.0,78,1004.0,9.0,47,22.8,30.2,10.0,13.2,Partly cloudy,4.300000000000001,7,2
22.3,0.0,93,1011.0,6.8,21,21.2,24.7,10.0,12.6,Clear,1.1000000000000014,5,3
26.2,4.87,96,1003.0,9.6,65,24.2,29.8,3.0,21.2,Moderate or heavy rain shower,2.0,19,4
21.8,0.0,94,1015.0,4.0,100,20.8,23.8,2.0,5.5,Overcast,1.0,8,7
30.1,0.0,76,1006.0,11.9,77,24.1,36.5,10.0,15.3,Cloudy,6.0,15,1
